Year,Type,Country,Activity,Injury,Species,Fatal (Y/N),SharkSpecie
2018.0,Unprovoked,AUSTRALIA,Walking,Puncture wounds to leff foot & lower leg,"Bull shark, 2 m",N,bull shark
2018.0,Invalid,AUSTRALIA,Swimming,"Collision / No injury, no attack",Possibly a wobbegong,N,
2018.0,Invalid,BRAZIL,Cleaning fish,Lacerations to 4 toes of right foot,"Injury believed caused by an eel, not a shark",N,
2018.0,Unprovoked,ECUADOR,Snorkeling,Injuries to right foot,Galapagos shark?,N,galapagos shark
2018.0,Invalid,AUSTRALIA,Spearfishing,"No injury no attack. This is considerd an ""encounter""",2m shark,N,
2018.0,Unprovoked,AUSTRALIA,,Injuries to right leg,Bull shark,N,bull shark
2018.0,Unprovoked,NEW CALEDONIA,Spearfishing,Injuries to abdomen and arm,"Bull shark, 3 m ",N,bull shark
2018.0,Unprovoked,AUSTRALIA,Diving,Severe laceration to left forearm,Grey reef shark. 2 m,N,
2018.0,Unprovoked,AUSTRALIA,Free diving,"No injury, shark took his swimfin","White shark, 3.5 m",N,white shark
2018.0,Unprovoked,BRAZIL,Surfing,Minor injury to left forearm,small shark,N,
2018.0,Unprovoked,AUSTRALIA,Surfing,Foot bitten,Wobbegong shark?,N,
2017.0,Unprovoked,USA,Surfing,Severe lacerations to left thigh & knee,Tiger shark,N,tiger shark
2017.0,Provoked,MALAYSIA,Fishing / Wading,"Minor injury to thigh, PROVOKED INCIDENT",Juvenile nurse shark,N,nurse shark
2017.0,Unprovoked,BAHAMAS,Snorkeling,Minor injury to arm,Nurse shark. 5',N,nurse shark
2017.0,Unprovoked,COSTA RICA,Scuba Diving,Serious injury to leg,"Tiger shark, female",N,tiger shark
2017.0,Unprovoked,COSTA RICA,Scuba diving,FATAL,"Tiger shark, female",Y,tiger shark
2017.0,Sea Disaster,LIBYA,2 boats capsized,FATAL,Some drowned but other may have been killed by blue sharks,Y,blue shark
2017.0,Unprovoked,USA,Spearfishing,Right leg bitten,"White shark, 4.6 m",N,white shark
2017.0,Unprovoked,AUSTRALIA,Surfing,Puncture wounds to left shoulder,2 m shark,N,
2017.0,Unprovoked,CUBA,Night bathing,FATAL,Tiger shark,Y,tiger shark
2017.0,Unprovoked,AUSTRALIA,Snorkeling,Calf injured,Cookiecutter shark,N,
2017.0,Unprovoked,AUSTRALIA,Surfing,Minor injury to foot,"Wobbegong shark, 1 m",N,
2017.0,Unprovoked,AUSTRALIA,Kayaking / Fishing,Minor injuries,"White shark, 4.5 m",N,white shark
2017.0,Unprovoked,NEW ZEALAND,Kayaking,"No injury, shark shook kayak x3 ",2 m shark,N,
2017.0,Unprovoked,USA,Swimming,Puncture wounds & lacerations to foot,"Spinner shark, 4 to 5 feet",N,
2017.0,Unprovoked,USA,Surfing,Lacerations to left hand,"Tiger shark, 8 to 10 feet",N,tiger shark
2017.0,Unprovoked,USA,Snorkeling,Abrasions,8' shark,N,
2017.0,Invalid,SOUTH AFRICA,Scuba Diving,FATAL,Death may have been due to drowning,,
2017.0,Unprovoked,USA,Surfing,Lacerations to lower left leg and foot,5' shark,N,
2017.0,Unprovoked,AUSTRALIA,Surfing,"No injury, board damaged by shark","White shark, 3.5 m",N,white shark
2017.0,Invalid,USA,Surfing,"Lacerations to right ankle, foot & toe",Questionable,,
2017.0,Unprovoked,USA,Surfing,Laceration to upper arm,4' to 5' shark,N,
2017.0,Unprovoked,SPAIN,Body surfing,Lacerations to right foot,"Porbeagle, 1.5 m",N,
2017.0,Boating,AUSTRALIA,Fishing,"sharks rammed boats, no injury to occupants","White shark, 3.5m",N,white shark
2017.0,Unprovoked,USA,Surfing,Lacerations to left foot,5' to 6' shark,N,
2017.0,Unprovoked,AUSTRALIA,Surfing,Minor lacerations to right hip,"White shark, 3 to 3.5m ",N,white shark
2017.0,Unprovoked,USA,Swimming,Lacerations to abdomen,Nurse shark,N,nurse shark
2017.0,Unprovoked,AUSTRALIA,Surfing,"No injury, board bitten","White shark, 3 m",N,white shark
2017.0,Invalid,SPAIN,Swimming,Lacerations to left foot,Shark involvement questionable,,
2017.0,Unprovoked,USA,SUP,Not injured by shark but board bitten,"White shark, 5' to 7'",N,white shark
2017.0,Unprovoked,BAHAMAS,Spearfishing,Hand injured,5' shark,N,
2017.0,Unprovoked,USA,Swimming,Minor cuts to sole & toes of left foot,Possibly a juvenile blacktip shark,N,blacktip shark
2017.0,Unprovoked,EGYPT,Snorkeling,Bite to right leg/hip,"Oceanic whitetip shark, 1.8 to 2 m",N,whitetip shark
2017.0,Provoked,USA,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,4' shark,N,
2017.0,Boating,USA,Kayaking / Fishing,"No injury, bow of kayak bitten","White shark, 10'",N,white shark
2017.0,Invalid,USA,Swimming,Abrasions and cuts to sole of foot,A small shark,,
2017.0,Unprovoked,USA,,Minor injury to hand,Sandtiger shark  2',N,tiger shark
2017.0,Unprovoked,SPAIN,Swimming,Abrasion to arm from shark's rough skin,Blue shark 6',N,blue shark
2017.0,Unprovoked,USA,,Foot bitten,"""A small shark""",N,
2017.0,Invalid,USA,Swimming,Foot injured,Shark involvement not confirmed,,
2017.0,Boating,USA,Kayaking,"No injury, kayak bitten","White shark, 11' to 13'",N,white shark
2017.0,Unprovoked,USA,SUP,"No injury, shark bit paddleboard","White shark, 8' to 10'",N,white shark
2017.0,Unprovoked,USA,Surfing,Pulled off board by shark but no injury,"White shark, 9'",N,white shark
2017.0,Boating,USA,Kayaking,"No injury, kayak bitten",White shark,N,white shark
2017.0,Unprovoked,USA,Swimming,Lower legs bitten,"Bull shark, 4' to 5'",N,bull shark
2017.0,Provoked,MEXICO,Fishing,Hand bitten by hooked shark PROVOKED INCIDENT,"Tiger shark, 100 kg",N,tiger shark
2017.0,Unprovoked,SOUTH AFRICA,Surfing,"No injury, shark bit surfboard","White shark, 2.5 m",N,white shark
2017.0,Invalid,COMOROS,Fishing,"Skull found in shark, a probable drowning & scavenging",Shark involvement prior to death not confirmed,,
2017.0,Invalid,USA,Fishing,"Arm injured by hook, not by a shark",No shark invovlement ,,
2017.0,Unprovoked,USA,Swimming,Leg bitten,"Bull shark, 4' to 5'",N,bull shark
2017.0,Unprovoked,REUNION,Body boarding,"No injury, shark bit surfboard ","Bull shark, 2m",N,bull shark
2017.0,Unprovoked,AUSTRALIA,Body boarding,"No injury, board bitten","White shark, 4 m",N,white shark
2017.0,Unprovoked,AUSTRALIA,Surfing,"No injury, knocked off board",Seven-gill shark,N,
2017.0,Unprovoked,UNITED KINGDOM,Surfing ,"Bruise to leg, cuts to hand sustained when he hit the shark","3m shark, probably a smooth hound",N,
2017.0,Unprovoked,USA,Spearfishing,Laceration to shin,8' shark,N,
2017.0,Unprovoked,BAHAMAS,Snorkeling,Right forearm severed ,Tiger shark,N,tiger shark
2017.0,Provoked,USA,Touching a shark,Right hand bitten by hooked shark PROVOKED INCIDENT,3' shark,N,
2017.0,Unprovoked,USA,Feeding sharks,Lacerations to right arm,Tiger shark,N,tiger shark
2017.0,Provoked,AUSTRALIA,Attempting to lasso a shark,Thigh nipped PROVOKED INCIDENT,9' shark,N,
2017.0,Invalid,USA,Surfing,"Laceration to thigh, likely caused by surfboard fin",Shark involvement highly doubtful,,
2017.0,Invalid,USA,Photo shoot,Alleged laceration to left ankle,No shark invovlement - it ws a publicity stunt,,
2017.0,Invalid,USA,Swimming,Laceration & puncture wounds to left foot,Shark involvement not confirmed,,
2017.0,Unprovoked,AUSTRALIA,Surfing,FATAL,White shark,Y,white shark
2017.0,Unprovoked,USA,Surfing,Lower right leg severely injured,"Tiger shark, 12'",N,tiger shark
2017.0,Invalid,SOUTH AFRICA,Scuba Diving,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",Shark involvement prior to death not confirmed,,
2017.0,Unprovoked,USA,Swimming,Lacerations to thighs,"Bull shark, 5' to 7'",N,bull shark
2017.0,Boating,USA,Kayaking,"No injury, kayak bitten",White shark,N,white shark
2017.0,Unprovoked,PHILIPPINES,Spearfishing,Right thigh injured ,10' shark,N,
2017.0,Unprovoked,BAHAMAS,Washing hands,Abrasions & lacerations to left leg and hand,Lemon shark,N,lemon shark
2017.0,Unprovoked,AUSTRALIA,Snorkeling,Hand bitten,"Bull shark, 1.5",N,bull shark
2017.0,Provoked,BRAZIL,Grabbing shark for a selfie,"Minor injury to finger, PROVOKED INCIDENT",Lemon shark pup,N,lemon shark
2017.0,Boating,SOUTH AFRICA,Kayak fishing,"Shark damaged kayak, no injury to occupant",Tiger shark,N,tiger shark
2017.0,Boating,USA,Tagging sharks,"Shark bit boat, no injury to occupants","White shark, female, 14'",N,white shark
2017.0,Unprovoked,BAHAMAS,Scuba Diving,Lacerations to upper right arm,Caribbean reef shark,N,
2017.0,Unprovoked,AUSTRALIA,Scuba Diving,"Multiple injuries to arm, wrist and torso","Bull shark, 4 m",N,bull shark
2017.0,Unprovoked,INDONESIA,Surfing,Injury to right wrist & forearm,"Bull shark, 1 m",N,bull shark
,Invalid,AUSTRALIA,Spearfishing,"No attack, shark made a threat display",Bull shark,,bull shark
2017.0,Invalid,AUSTRALIA,Wading,Minor injuries to foot & toes,Shark involvement not confirmed,,
2016.0,Unprovoked,AUSTRALIA,Snorkeling,Buttock bitten,a small shark,N,
2016.0,Unprovoked,SOUTH AFRICA,Surf skiing ,"No injury, but ski severely damaged","White shark, 4 m",N,white shark
2016.0,Invalid,USA,Surfing,Cuts to right ankle & foot,Shark involvement not confirmed,,
2016.0,Provoked,AUSTRALIA,Surf fishing,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,"Wobbegong shark, 2m",N,
2016.0,Unprovoked,AUSTRALIA,Surfing,Injuries to foot & arm,White shark,N,white shark
2016.0,Provoked,AUSTRALIA,Fishing,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,"Broadnose sevengill shark, 1.5 m",N,
2016.0,Unprovoked,USA,Floating,Injuries to right calf and thigh,Tiger shark,N,tiger shark
2016.0,Unprovoked,USA,Surfing,Left arm and leg injured, 6' to 8' shark,N,
2016.0,Invalid,MEXICO,Cage Diving,"Shark breached cage, no injury to diver",White shark,,white shark
2016.0,Unprovoked,AUSTRALIA,Surfing,4 deep lacerations to thigh,"White shark, 3.5 m",N,white shark
2016.0,Unprovoked,AUSTRALIA,Surfing,No injury: Knocked off board by shark,2 m shark,N,
2016.0,Unprovoked,USA,Wading,Minor injury to arm,3' to 4' shark,N,
2016.0,Unprovoked,USA,Swimming,Severe lacerations to shoulder & forearm,"Tiger shark, 10'",N,tiger shark
2016.0,Unprovoked,USA,Spearfishing,Two toes broken & lacerated,"White shark, 8' to 10'",N,white shark
2016.0,Invalid,MEXICO,Cage Diving,"No injury to divers, white shark breached cage",Invalid,,
2016.0,Unprovoked,USA,Surfing,Lacerations to right foot,"Bull shark, 6'",N,bull shark
2016.0,Unprovoked,REUNION,Surfing,"Right arm severed, ankle severely bitten ","Bull shark, 3.5 m",N,bull shark
2016.0,Unprovoked,USA,SUP Foil boarding,"No inury, shark & board collided","Tiger shark, 10' ",N,tiger shark
2016.0,Unprovoked,USA,Surfing,Big toe bitten,Blacktip shark,N,blacktip shark
2016.0,Unprovoked,SPAIN,Swimming,Lacerations to right hand,Blue shark,N,blue shark
2016.0,Boating,AUSTRALIA,Kayaking,"No injury, shark nudged kayak repeatedly",White shark,N,white shark
2016.0,Provoked,USA,Lobstering,Laceration to left forearm PROVOKED INCIDENT,"Nurse shark, 4'",N,nurse shark
2016.0,Unprovoked,BAHAMAS,Spearfishing,Lacerations to face and right leg,"Bull shark, 6'",N,bull shark
2016.0,Provoked,AUSTRALIA,Fishing,Laceration to left calf from hooked shark PROVOKED INCIDENT,"reef shark, 1m",N,
2016.0,Boating,USA,Fishing in Alabama Deep Fishing Rodeo,"No injury, shark bit trolling motor","Tiger shark, 10' ",N,tiger shark
2016.0,Unprovoked,USA,Kite surfing,"No injury, board damaged","White shark, 10' to 12'",N,white shark
2016.0,Unprovoked,BAHAMAS,Scuba Diving,Face bruised when partly blind shark collided with him,"Lemon shark, 9'",N,lemon shark
2016.0,Unprovoked,SPAIN,Wading,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",Angel shark,N,
2016.0,Boating,USA,Fishing for squid,"No injury. Hull bitten, tooth fragment recovered",White shark,N,white shark
2016.0,Provoked,USA,Fishing,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,dogfish shark,N,
2016.0,Boating,USA,Fishing for sharks,"No injury. Hull bitten, tooth fragment recovered",White shark,N,white shark
2016.0,Provoked,AUSTRALIA,Fishing,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,Tawny nurse shark,N,nurse shark
2016.0,Unprovoked,USA,,Minor injury,3' to 4' shark,N,
2016.0,Unprovoked,COLUMBIA,Scuba Diving,Severe bite to right hand,"Caribbean reef shark, 4.5'",N,
2016.0,Unprovoked,SOUTH AFRICA,Spearfishing,Injuries to left leg & right hand,White shark,N,white shark
2016.0,Unprovoked,USA,Floating,Lacerations and punctures to foot,3' to 5' shark,N,
2016.0,Unprovoked,USA,Surfing,Single puncture wound to arm,3' to 4' shark,N,
2016.0,Provoked,AUSTRALIA,Spearfishing,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,5' shark,N,
2016.0,Unprovoked,USA,Floating in tube,Injury to lower leg,3' to 4' shark,N,
2016.0,Unprovoked,USA,Standing,Laceration to wrist,3' shark,N,
2016.0,Invalid,USA,Surfing,"No injury, board damaged",Said to involve an 8' shark but more likely damage caused by debris,,
2016.0,Unprovoked,AUSTRALIA,Diving,FATAL,3+ m shark,Y,
2016.0,Unprovoked,EGYPT,Swimming,"Leg severely bitten, surgically amputated",Mako shark,N,mako shark
2016.0,Unprovoked,AUSTRALIA,Spearfishing,"No injury, but sharks repeatedly hit their fins and guns",Bronze whaler sharks x 3,,
2016.0,Unprovoked,NEW CALEDONIA,Kite surfing,Laceration to heel,3 m shark,N,
2016.0,Unprovoked,AUSTRALIA,Surfing,FATAL,White shark,Y,white shark
2016.0,Unprovoked,USA,Swimming,Injury to posterior right leg,5' shark,N,
2016.0,Unprovoked,USA,Swimming,Lacerations and puncture wounds to foot and ankle,"Bull shark, 4' to 5'",N,bull shark
2016.0,Unprovoked,USA,Swimming,Ankle bitten,"Blacktip shark, 4'",N,blacktip shark
2016.0,Provoked,USA,Teasing a shark,Arm grabbed PROVOKED INCIDENT,"Nurse shark, 2'",N,nurse shark
2016.0,Provoked,NEW ZEALAND,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,"Mako shark, 1.5 m [5'] ",N,mako shark
2016.0,Unprovoked,INDONESIA,Surfing,Elbow bitten,"Bull shark, 6'",N,bull shark
2016.0,Unprovoked,SOUTH AFRICA,Surf-skiing,"No injury, surf-ski bitten",White shark,N,white shark
2016.0,Unprovoked,AUSTRALIA,Swimming,Minor puncture wound to foot,Wobbegong shark,N,
2016.0,Provoked,FRENCH POLYNESIA,Spearfishing,Laceration to knee by speared shark PROVOKED INCIDENT,"Grey reef shark, 2 m",M,
2016.0,Provoked,FRENCH POLYNESIA,Spearfishing,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT","Grey reef shark, 2 m",N,
2016.0,Unprovoked,USA,Spearfishing,Multiple bites to right arm,"Bull shark, 7'",N,bull shark
2016.0,Unprovoked,NEW CALEDONIA,Walking,FATAL,"Tiger shark, 2.5 m",Y,tiger shark
2016.0,Invalid,CAPE VERDE,,"""Serious""",Shark involvement not confirmed,,
2016.0,Unprovoked,USA,Fishing,Left hand bitten,5' to 6' shark,N,
2016.0,Unprovoked,USA,,Minor injury to arm. Possibly caused by smalll nurse shark,Shark involvement not confirmed,,
2016.0,Provoked,BAHAMAS,,Minor injury to chest PROVOKED INCIDENT,"Nurse shark, 2.5-ft",N,nurse shark
2016.0,Invalid,USA,Surfing,Board reportedly bumped by shark. No injury,Shark involvement not confirmed,,
2016.0,Unprovoked,AUSTRALIA,Fishing,Puncture wounds to right calf,Bronze whaler,N,
2016.0,Unprovoked,BRAZIL,Swimming,Minor injury to head,Sandtiger shark,N,tiger shark
2016.0,Invalid,CAYMAN ISLANDS,Feeding stingrays?,Minor injury to wrist from Southern stingray,No shark involvement,,
2016.0,Invalid,AUSTRALIA,Surfing,"No injury, knocked off board",No shark involvement,,
2016.0,Unprovoked,BRAZIL,Swimming,Lacerations to scalp,Sandtiger shark,N,tiger shark
2016.0,Unprovoked,USA,Surfing,Lacerations to both hands,"Reef shark, 5'",N,
2016.0,Unprovoked,USA,Spearfishing,"Bruised ribs & tail bone, speargun broken and wetsuit cut",Bull sharks x 2,N,bull shark
2016.0,Boating,UNITED ARAB EMIRATES,Fishing,"No injury to occupants, shark leapt into boat",Mako shark,N,mako shark
2016.0,Unprovoked,USA,Paddle boarding,No injury,"Tiger shark, 14'",N,tiger shark
2016.0,Unprovoked,AUSTRALIA,Surfing,Laceration to right foot,Wobbegong shark,N,
2016.0,Unprovoked,AUSTRALIA,Wading,Laceration to right calf,Blacktip shark,N,blacktip shark
2016.0,Unprovoked,AUSTRALIA,Spearfishing,Lacerations to arms & leg,3 m shark,N,
2015.0,Boating,SOUTH AFRICA,Kayak Fishing,"No injury, kayak damaged","White shark, 3 m",N,white shark
2015.0,Unprovoked,SPAIN,Swimming,Lacerations to left forearm,"Silky shark, 6.5'",N,
2015.0,Unprovoked,USA,Paddle boarding,"No injury, shark bit board",9' shark,N,
2015.0,Unprovoked,AUSTRALIA,Surfing,"No injury, shark leapt on surfboard","Bronze whaler shark, 6'",N,
2015.0,Unprovoked,BRAZIL,Scuba diving,Right hand & part of forearm removed,"Tiger shark, 1.5 m ",N,tiger shark
2015.0,Boating,AUSTRALIA,Fishing,"No injury, shark rammed boat & bit motor","White shark, 3.5 m",N,white shark
2015.0,Unprovoked,BAHAMAS,Lobster fishing,"Bitten on thigh, abdomen & hand",Bull shark,N,bull shark
2015.0,Unprovoked,ECUADOR,Snorkeling,Lacerations to left calf,Galapagos shark,N,galapagos shark
2015.0,Unprovoked,USA,Surfing,Lacerations to hand,"Spinner shark, 7'",N,
2015.0,Unprovoked,AUSTRALIA,Surfing,Injury to left thigh,"Bull shark, 2.8 to 3.1 m",N,bull shark
2015.0,Invalid,USA,Surfing,Lower left leg injured,Shark involvement not confirmed,,
2015.0,Unprovoked,USA,Wading,Injury to right ankle/calf & hand,3' to 5' shark,N,
2015.0,Unprovoked,SOUTH AFRICA,Surfing,"Lacerations to right calf, knee & hip","White shark, 3 to 3.5m ",N,white shark
2015.0,Unprovoked,USA,Surfing,Lacerations to left hand,5' shark,N,
2015.0,Unprovoked,USA,Surfing,Left foot bitten,"Spinner shark, 5'",N,
2015.0,Invalid,USA,Surfing,Left foot bitten by eel,No shark involvement,,
2015.0,Unprovoked,USA,Swimming,Severe injuries to lower legs. Foot later surgically amputated.,"Tiger shark, 7'",N,tiger shark
2015.0,Boating,USA,Kayak Fishing,"No injury, shark rammed kayak repeatedly",Hammerhead sp.,N,hammerhead shark
2015.0,Unprovoked,USA,Surfing,"Left leg severed below the knee, defense injuries to left hand","Tiger shark, 13' ",N,tiger shark
2015.0,Unprovoked,USA,Wading,Foot & hands bitten,4' to 5' shark,N,
2015.0,Unprovoked,USA,Surfing,Severe lacerations to left hand,"Blacktip shark, 4' to 5'",N,blacktip shark
2015.0,Unprovoked,USA,Surfing,"Laceration to heel, puncture wounds to dorsum of foot","Blacktip shark, 5' to 6'",N,blacktip shark
2015.0,Boating,USA,Kayak fishing,"No injury, kayak damaged","White shark, 19'",N,white shark
2015.0,Unprovoked,USA,Surfing,Minor injury to left ankle,juvenile shark,N,
2015.0,Unprovoked,USA,Spearfishing,Severe laceration to left leg,"Tiger shark, 13'",N,tiger shark
2015.0,Unprovoked,USA,Wading,Significant injuries to leg,4' shark,N,
2015.0,Boating,USA,Kayak Fishing,No injury,Hammerhead shark,N,hammerhead shark
2015.0,Unprovoked,AUSTRALIA,Surfing,Minor laceration to hand,6' shark,N,
2015.0,Unprovoked,USA,Stand-Up Paddleboarding,"No injury, shark struck board, tossing her into the sea","White shark, 11' to 12'",N,white shark
2015.0,Provoked,USA,Kayak Fishing,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,Hammerhead shark.,N,hammerhead shark
2015.0,Unprovoked,AUSTRALIA,Surf-skiing,Inuries to lower left leg & ankle,"White shark, 2.5 m",N,white shark
2015.0,Unprovoked,USA,,Right foot bitten,4' shark?,N,
2015.0,Unprovoked,THAILAND,Wading,Left foot & ankle bitten,small shark,N,
2015.0,Unprovoked,FIJI,Spearfishing,Leg bitten,Tiger shark,N,tiger shark
2015.0,Unprovoked,USA,Surfing,"No injury, surfboard bitten","White shark, 11' to 12'",N,white shark
2015.0,Unprovoked,USA,Surfing,"No injury, shark struk sufer's leg and his board","White shark, 10' to 12' ",N,white shark
2015.0,Invalid,USA,,Wound to right lower leg,Shark involvement not confirmed,,
2015.0,Unprovoked,USA,Surfing,"Injuries to left calf, arm and hand",4' shark,N,
2015.0,Unprovoked,USA,Walking,Lacerations to right leg,3' shark,N,
2015.0,Boating,USA,Kayak Fishing,"No injury, kayak bitten","White shark, 13'",N,white shark
2015.0,Invalid,SPAIN,Swimming,Minor injury when he attempted to touch a fish. ,Shark involvement not confirmed,,
2015.0,Provoked,USA,Spearfishing,Right hand bitten  PROVOKED INCIDENT,Hammerhead shark. 6' to 7',N,hammerhead shark
2015.0,Unprovoked,AUSTRALIA,Surfing,"Lacerations and puncture wounds to hip, thigh, arm and hand",White shark,N,white shark
2015.0,Unprovoked,USA,Surfing,Minor injury to sole of foot,"Blacktip or spinner shark, 4'",N,blacktip shark
2015.0,Invalid,USA,Floating,"2' cut to dorsum of foot, 2 puncture wounds to sole","Thought to involve a 3' to 4' shark, but shark involvement not confirmed",,
2015.0,Unprovoked,AUSTRALIA,Scallop diving on hookah,FATAL,"White shark, 3.9 to 4.2 m",Y,white shark
2015.0,Provoked,USA,Kayak Fishing,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,"Mako shark, 100-lb",N,mako shark
2015.0,Unprovoked,AUSTRALIA,Surfing,Left hand bitten,"Bronze whaler shark, 1.5m",N,
2015.0,Unprovoked,REUNION,Surfing,Arm bitten,"Bull shark, 2m",N,bull shark
2015.0,Unprovoked,SOUTH AFRICA,Surfing,No injury,White shark,N,white shark
2015.0,Unprovoked,USA,Surfing,"No injury, shark bumped & damaged board","White shark, 7'",N,white shark
2015.0,Invalid,USA,Treading water,Laceration to back,Shark involvement not cofirmed,,
2015.0,Invalid,FRENCH POLYNESIA,Swimming,Parallel lacerations to torso inconsistent with shark bite,No shark involvement,,
2015.0,Unprovoked,BAHAMAS,Spearfishing,Lacerations to lower leg & ankle,6' shark,N,
2015.0,Unprovoked,AUSTRALIA,Surfing,"No injury, shark bit surfboard",White shark,N,white shark
2015.0,Unprovoked,AUSTRALIA,Body boarding ,Significant injuries to lower legs,White shark,N,white shark
2015.0,Unprovoked,USA,Swimming,"Injuries to torso, hip, lower leg & hands",6' to 7' shark,N,
2015.0,Unprovoked,USA,Playing in the water,Shallow lacerations & puncture to lateral left leg,4' to 5' shark,N,
2015.0,Unprovoked,USA,Swimming,"Injuries to right calf, buttock and both hands",Bull shark,N,bull shark
2015.0,Unprovoked,SOUTH AFRICA,Body Boarding,"Right leg severed, multiple lacerations to left leg",White shark,N,white shark
2015.0,Invalid,USA,Swimming,Minor lacerations to leg,Shark involvement not confirmed,,
2015.0,Unprovoked,SOUTH AFRICA,Surfing,Multiple lacerations to torso & leg,"White shark, 2m to 3 m",N,white shark
2015.0,Unprovoked,USA,Standing,Puncture wounds to foot,4' shark,N,
2015.0,Provoked,AUSTRALIA,Swimming,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,Wobbegong shark,N,
2015.0,Unprovoked,USA,Swimming,Minor injury to foot,Sandtiger shark,N,tiger shark
2015.0,Invalid,AUSTRALIA,Surfing,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",White shark,N,white shark
2015.0,Unprovoked,USA,Standing,Minor injury to calf ,small shark,N,
2015.0,Unprovoked,USA,Wading,Arm amputated below shoulder,Bull shark,N,bull shark
2015.0,Unprovoked,USA,Wading,Left arm amputated at elbow & severe injury to leg,Bull shark,N,bull shark
2015.0,Unprovoked,USA,,Severe laceration to leg,Mako shark,N,mako shark
